date,Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Voltage(V)
2016-11-15 08:00:00,4.39998817443848,2.13742589950562,1.29445354435376E-09,3.62727689743042,2.44502139091492,0.684612154960632,4.40002059936523
2016-11-15 09:00:00,4.39997291564941,2.17385601997375,1.29445354435376E-09,3.60168981552124,2.44502139091492,0.760680854320526,4.40000915527344
2016-11-15 10:00:00,4.39999008178711,2.20863151550293,1.29445354435376E-09,3.57753992080688,2.44502139091492,0.836735904216766,4.39994812011719
2016-11-15 11:00:00,4.40001773834229,2.24184989929199,1.29445354435376E-09,3.5544114112854,2.44502139091492,0.912810385227203,4.40002059936523
2016-11-15 12:00:00,4.39997005462647,2.27347183227539,1.29445354435376E-09,3.53263807296753,2.44502139091492,0.98887711763382,4.40000534057617
2016-11-15 13:00:00,4.400071144104,2.30357766151428,1.29445354435376E-09,3.51142740249634,2.44502139091492,1.06494033336639,4.40000438690186
2016-11-15 14:00:00,4.40005588531494,2.33222031593323,1.29445354435376E-09,3.49186944961548,2.44502139091492,1.14100408554077,4.4000186920166
2016-11-15 15:00:00,4.39997577667236,2.35950326919556,1.29445354435376E-09,3.47312021255493,2.44502139091492,1.21706819534302,4.4000244140625
2016-11-15 16:00:00,4.40005588531494,2.38545250892639,1.29445354435376E-09,3.45564603805542,2.44502139091492,1.29313778877258,4.39997673034668
2016-11-15 17:00:00,4.40003681182861,2.41012334823608,1.29445354435376E-09,3.43886041641235,2.44502139091492,1.36921048164368,4.39999485015869
2016-11-15 18:00:00,4.39999008178711,2.43356919288635,1.29445354435376E-09,3.4226222038269,2.44502139091492,1.44527947902679,4.39997005462647
2016-11-15 19:00:00,4.40007495880127,2.45453858375549,1.29445354435376E-09,3.40704774856567,2.44502139091492,1.52135133743286,4.39995670318604
2016-11-15 20:00:00,4.27655506134033,2.45455098152161,1.29445354435376E-09,3.39153623580933,2.44502139091492,1.59741640090942,4.39993572235107
2016-11-15 21:00:00,4.26371097564697,2.45455098152161,1.29445354435376E-09,3.37568235397339,2.44502139091492,1.67348456382751,4.3999605178833
2016-11-15 22:00:00,4.26039409637451,2.45455098152161,1.29445354435376E-09,3.35878229141235,2.44502139091492,1.74954545497894,4.40000724792481
2016-11-15 23:00:00,3.90047645568848,2.45455098152161,0.076046533882618,3.34094667434692,2.44502139091492,1.82562267780304,4.39999771118164
2016-11-16 00:00:00,3.85511112213135,2.45455098152161,0.152141347527504,3.32151365280151,2.44502139091492,1.9016832113266,4.39996719360352
2016-11-16 01:00:00,3.81729793548584,2.45455098152161,0.228190496563911,3.29964303970337,2.44502139091492,1.97776019573212,4.39995956420898
2016-11-16 02:00:00,3.78199577331543,2.45455098152161,0.304267466068268,3.27431535720825,2.44502139091492,2.05382084846497,4.40000724792481
2016-11-16 03:00:00,3.7480583190918,2.45455098152161,0.380340665578842,3.24378347396851,2.44502139091492,2.12988972663879,4.40000152587891
2016-11-16 04:00:00,3.71544647216797,2.45455098152161,0.456414103507996,3.2068247795105,2.44502139091492,2.20596265792847,4.40000152587891
2016-11-16 05:00:00,3.68354797363281,2.45455098152161,0.53245621919632,3.16026163101196,2.44502139091492,2.28203201293945,4.40003681182861
2016-11-16 06:00:00,3.65373516082764,2.45455098152161,0.608493864536285,3.09935331344604,2.44502139091492,2.35809779167175,4.40006160736084
2016-11-16 07:00:00,3.6260929107666,2.45455098152161,0.684621751308441,3.01454591751099,2.44502139091492,2.43416666984558,4.39998531341553
2016-11-16 08:00:00,3.60057926177979,2.45455098152161,0.760687232017517,2.99999189376831,2.44502139091492,2.44472098350525,4.40004062652588
2016-11-16 09:00:00,3.5768518447876,2.45455098152161,0.836767852306366,3.6114182472229,2.44502139091492,2.44476366043091,4.40001010894775
2016-11-16 10:00:00,3.55388069152832,2.45455098152161,0.912833869457245,3.64401292800903,2.44502139091492,2.44476366043091,4.40000057220459
2016-11-16 11:00:00,3.53188133239746,2.45455098152161,0.988900184631348,3.65212774276733,2.44502139091492,2.44476366043091,4.39997673034668
2016-11-16 12:00:00,3.51123237609863,2.45455098152161,1.06494975090027,4.1999888420105,0.126894697546959,0,4.40000152587891
2016-11-16 13:00:00,3.49180889129639,2.45455098152161,1.14100575447083,4.20011281967163,0.137097328901291,0,4.27073001861572
2016-11-16 14:00:00,3.47348594665527,2.45455098152161,1.21708285808563,4.23273611068726,0.245508015155792,6.5366406731826E-10,4.25783252716064
2016-11-16 15:00:00,3.45600700378418,2.45455098152161,1.29307878017426,4.26248502731323,0.354186713695526,6.5366406731826E-10,4.25451183319092
2016-11-16 16:00:00,3.43912601470947,2.45455098152161,1.36925482749939,4.28659868240356,0.46284756064415,6.5366406731826E-10,3.87170696258545
2016-11-16 17:00:00,3.42281246185303,2.45455098152161,1.44532442092896,4.31065034866333,0.571512281894684,6.5366406731826E-10,3.827805519104
2016-11-16 18:00:00,3.40718364715576,2.45455098152161,1.52138113975525,4.33655309677124,0.680191338062286,6.5366406731826E-10,3.79116153717041
2016-11-16 19:00:00,3.39141941070557,2.45455098152161,1.59741532802582,4.36448526382446,0.788850009441376,6.5366406731826E-10,3.75683879852295
2016-11-16 20:00:00,3.37550354003906,2.45455098152161,1.67345762252808,4.39517164230347,0.897521913051605,6.5366406731826E-10,3.72358703613281
